Make,Model,Vehicle Model,Year,Mileage,Engine_Size,Fuel_Type,Transmission,Price
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2021,"173,000km","1,500cc",PETROL,5MT,"5,700"
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2017,"121,000km","1,500cc",PETROL,AT,"4,500"
TOYOTA,TOWNACE VAN GL,TOYOTA TOWNACE VAN GL,2017,"138,000km","1,500cc",PETROL,AT,"4,500"
TOYOTA,TOWNACE VAN GL,TOYOTA TOWNACE VAN GL,2011,"128,000km","1,500cc",PETROL,AT,"2,300"
TOYOTA,MARK X 250G FOUR,TOYOTA MARK X 250G FOUR,2018,"100,000km","2,500cc",PETROL,AT,"7,200"
TOYOTA,SUCCEED VAN UL-X,TOYOTA SUCCEED VAN UL-X,2020,"192,000km","1,500cc",PETROL,AT,"5,950"
TOYOTA,SUCCEED VAN UL,TOYOTA SUCCEED VAN UL,2018,"175,000km","1,500cc",PETROL,AT,"4,600"
TOYOTA,SUCCEED VAN UL,TOYOTA SUCCEED VAN UL,2019,"53,000km","1,500cc",PETROL,AT,"6,700"
TOYOTA,REGIUSACE VAN DX,TOYOTA REGIUSACE VAN DX,2013,"393,000km","3,000cc",DIESEL,AT,"6,400"
TOYOTA,REGIUSACE VAN DX GL PKG,TOYOTA REGIUSACE VAN DX GL PKG,2016,"84,000km","3,000cc",DIESEL,AT,"10,510"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2021,"275,000km","1,300cc",PETROL,AT,"4,950"
TOYOTA,PROBOX VAN DX  COMFORT,TOYOTA PROBOX VAN DX  COMFORT,2021,"58,000km","1,300cc",PETROL,AT,"5,600"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,"112,000km","1,300cc",PETROL,AT,"5,250"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,"120,000km","1,300cc",PETROL,AT,"5,260"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,"82,000km","1,300cc",PETROL,AT,"5,360"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2020,"138,000km","1,300cc",PETROL,AT,"5,200"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2019,"168,000km","1,320cc",PETROL,AT,"4,850"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2017,"147,000km","1,300cc",PETROL,AT,"4,600"
TOYOTA,PROBOX VAN GL,TOYOTA PROBOX VAN GL,2017,"108,000km","1,500cc",PETROL,AT,"4,710"
TOYOTA,PROBOX VAN DX COMFORT,TOYOTA PROBOX VAN DX COMFORT,2015,"122,000km","1,500cc",PETROL,AT,"3,450"
NISSAN,NV350CARAVAN DX,NISSAN NV350CARAVAN DX,2015,"193,000km","2,500cc",DIESEL,AT,"4,500"
TOYOTA,LITEACE VAN DX,TOYOTA LITEACE VAN DX,2016,"192,000km","1,500cc",PETROL,AT,"3,510"
NISSAN,NV200VANETTE VAN GX,NISSAN NV200VANETTE VAN GX,2013,"180,000km","1,600cc",PETROL,AT,"1,970"
NISSAN,NV200VANETTE VAN DX,NISSAN NV200VANETTE VAN DX,2020,"152,000km","1,600cc",PETROL,AT,"5,200"
NISSAN,NV200VANETTE VAN DX,NISSAN NV200VANETTE VAN DX,2020,"260,000km","1,600cc",PETROL,AT,"5,100"
NISSAN,NV350CARAVAN DX,NISSAN NV350CARAVAN DX,2015,"180,000km","2,500cc",DIESEL,AT,"4,500"
TOYOTA,HIACE VAN DX GL PKG,TOYOTA HIACE VAN DX GL PKG,2012,"178,000km","2,000cc",PETROL,AT,"7,500"
TOYOTA,COROLLA FIELDER 1.8S,TOYOTA COROLLA FIELDER 1.8S,2007,"112,000km","1,800cc",PETROL,AT,"2,550"
MAZDA,FAMILIA VAN VE,MAZDA FAMILIA VAN VE,2019,"144,000km","1,500cc",PETROL,AT,"5,100"
NISSAN,NOTE X DIG-S,NISSAN NOTE X DIG-S,2012,"105,000km","1,200cc",PETROL,AT,"1,100"
TOYOTA,COROLLA FIELDER 1.5X,TOYOTA COROLLA FIELDER 1.5X,2007,"138,000km","1,500cc",PETROL,AT,"2,700"
TOYOTA,COROLLA FIELDER HYBRID G,TOYOTA COROLLA FIELDER HYBRID G,2014,"208,000km","1,500cc",HYBRID(PETROL),AT,"3,100"
TOYOTA,COROLLA FIELDER HYBRID G,TOYOTA COROLLA FIELDER HYBRID G,2014,"106,000km","1,500cc",HYBRID(PETROL),AT,"3,300"
TOYOTA,COROLLA FIELDER HYBRID G AERO TOURER WXB,TOYOTA COROLLA FIELDER HYBRID G AERO TOURER WXB,2014,"116,000km","1,500cc",HYBRID(PETROL),AT,"4,300"
TOYOTA,COROLLA FIELDER HYBRID G AERO TOURER,TOYOTA COROLLA FIELDER HYBRID G AERO TOURER,2014,"165,000km","1,500cc",HYBRID(PETROL),AT,"3,100"
HONDA,ACTY VAN SDX,HONDA ACTY VAN SDX,2018,"101,000km",660cc,PETROL,AT,"2,290"
TOYOTA,WISH X S PACKAGE,TOYOTA WISH X S PACKAGE,2005,"136,000km","1,800cc",PETROL,AT,"3,100"
TOYOTA,WISH 2.0Z,TOYOTA WISH 2.0Z,2009,"159,000km","2,000cc",PETROL,AT,"2,590"
MITSUBISHI,ROSA 26SEATER,MITSUBISHI ROSA 26SEATER,2003,"111,000km","4,200cc",DIESEL,MT,"19,310"
NISSAN,SYLPHY S,NISSAN SYLPHY S,2017,"85,000km","1,800cc",PETROL,AT,"3,380"
HONDA,SHUTTLE HYBRID HONDA SENSING,HONDA SHUTTLE HYBRID HONDA SENSING,2018,"159,000km","1,500cc",HYBRID(PETROL),AT,"4,190"
TOYOTA,PREMIO X L PKG,TOYOTA PREMIO X L PKG,2007,"85,000km","1,800cc",PETROL,AT,"4,680"
TOYOTA,PREMIO F L PKG,TOYOTA PREMIO F L PKG,2005,"84,000km","1,500cc",PETROL,AT,"4,190"
LEXUS,IS IS250 VERSION L,LEXUS IS IS250 VERSION L,2009,"87,000km","2,500cc",PETROL,AT,"3,380"
TOYOTA,CROWN ATHLETE NAVI PKG,TOYOTA CROWN ATHLETE NAVI PKG,2008,"136,000km","2,500cc",PETROL,AT,"3,580"
TOYOTA,VELLFIRE 2.4X,TOYOTA VELLFIRE 2.4X,2008,"161,000km","2,400cc",PETROL,AT,"2,460"
TOYOTA,WISH G,TOYOTA WISH G,2003,"94,000km","2,000cc",PETROL,AT,"1,810"
TOYOTA,VELLFIRE 2.4X,TOYOTA VELLFIRE 2.4X,2013,"178,000km","2,400cc",PETROL,AT,"2,780"
NISSAN,XTRAIL 20S,NISSAN XTRAIL 20S,2009,"258,000km","1,990cc",PETROL,AT,"2,230"
TOYOTA,COROLLA AXIO HYBRID G,TOYOTA COROLLA AXIO HYBRID G,2019,"185,000km","1,500cc",HYBRID(PETROL),AT,"5,380"
HONDA,STEPWAGON SPADA S,HONDA STEPWAGON SPADA S,2014,"128,000km","2,000cc",PETROL,AT,"4,520"
HINO,DUTRO 2.0t FLAT BODY,HINO DUTRO 2.0t FLAT BODY,2006,"292,000km","4,900cc",DIESEL,MT,"9,080"
NISSAN,XTRAIL 20X EMERGENCY BRAKE PKG,NISSAN XTRAIL 20X EMERGENCY BRAKE PKG,2015,"135,000km","1,997cc",PETROL,AT,"3,800"
NISSAN,XTRAIL 20XI,NISSAN XTRAIL 20XI,2021,"61,000km","2,000cc",PETROL,AT,"9,300"
MITSUBISHI,CANTER TRUCK 1.25t W CAB,MITSUBISHI CANTER TRUCK 1.25t W CAB,2005,"419,000km","3,000cc",DIESEL,MT,"4,050"
NISSAN,XTRAIL 20X BLACK EXTREMER X,NISSAN XTRAIL 20X BLACK EXTREMER X,2015,"154,000km","2,000cc",PETROL,AT,"4,240"
NISSAN,XTRAIL 20X,NISSAN XTRAIL 20X,2011,"139,000km","2,000cc",PETROL,AT,"2,530"
MERCEDES,C CLASS C200,MERCEDES C CLASS C200,2011,"32,000km","1,800cc",PETROL,AT,"3,980"
HONDA,VEZEL E:HEV X,HONDA VEZEL E:HEV X,2021,"64,000km","1,500cc",HYBRID(PETROL),AT,"13,900"
HONDA,VEZEL HYBRID X,HONDA VEZEL HYBRID X,2015,"121,000km","1,500cc",HYBRID(PETROL),AT,Ask
TOYOTA,VOXY X L EDITION,TOYOTA VOXY X L EDITION,2009,"157,000km","2,000cc",PETROL,AT,"2,100"
MITSUBISHI,PAJERO MINI XR,MITSUBISHI PAJERO MINI XR,2007,"135,000km",660cc,PETROL,AT,"1,560"
SUZUKI,JIMNY XC,SUZUKI JIMNY XC,2005,"164,000km",660cc,PETROL,AT,"1,700"
TOYOTA,VOXY ZS KIRAMEKI,TOYOTA VOXY ZS KIRAMEKI,2018,"111,000km","2,000cc",PETROL,AT,"10,330"
TOYOTA,VOXY ZS KIRAMEKI,TOYOTA VOXY ZS KIRAMEKI,2018,"65,000km","2,000cc",PETROL,AT,"10,650"
TOYOTA,VOXY ZS KIRAMEKI,TOYOTA VOXY ZS KIRAMEKI,2015,"209,000km","2,000cc",PETROL,AT,"6,200"
TOYOTA,VOXY ZS KIRAMEKI,TOYOTA VOXY ZS KIRAMEKI,2015,"102,000km","2,000cc",PETROL,AT,"6,460"
TOYOTA,SIENTA G,TOYOTA SIENTA G,2009,"138,000km","1,500cc",PETROL,AT,"2,040"
TOYOTA,VOXY ZS KIRAMEKI 2,TOYOTA VOXY ZS KIRAMEKI 2,2009,"133,000km","2,000cc",PETROL,AT,"2,200"
MAZDA,CX5 XD,MAZDA CX5 XD,2013,"51,000km","2,200cc",DIESEL,AT,"3,150"
MAZDA,CX3 XD,MAZDA CX3 XD,2015,"148,000km","1,500cc",DIESEL,AT,"3,250"
TOYOTA,NOAH X SMART EDITION,TOYOTA NOAH X SMART EDITION,2010,"216,000km","1,980cc",PETROL,AT,"2,460"
TOYOTA,ALLION A15 G PKG,TOYOTA ALLION A15 G PKG,2005,"166,000km","1,500cc",PETROL,AT,"3,480"
TOYOTA,ALLION A15 G PKG,TOYOTA ALLION A15 G PKG,2005,"80,000km","1,500cc",PETROL,AT,"3,880"
TOYOTA,NOAH X SPECIAL EDITION,TOYOTA NOAH X SPECIAL EDITION,2007,"66,000km","2,000cc",PETROL,AT,"1,620"
TOYOTA,NOAH X V SELECTION,TOYOTA NOAH X V SELECTION,2004,"82,000km","2,000cc",PETROL,AT,"1,780"
MITSUBISHI,EK WAGON M,MITSUBISHI EK WAGON M,2013,"114,000km",660cc,PETROL,AT,"1,060"
TOYOTA,LITEACE NOAH G 10 MILLION SELECTION,TOYOTA LITEACE NOAH G 10 MILLION SELECTION,2001,"172,000km","2,000cc",PETROL,AT,"5,040"
MITSUBISHI,EK WAGON M,MITSUBISHI EK WAGON M,2018,"114,000km",660cc,PETROL,AT,"1,790"
TOYOTA,AQUA X,TOYOTA AQUA X,2023,"42,000km","1,500cc",HYBRID(PETROL),AT,"6,420"
TOYOTA,RACTIS G,TOYOTA RACTIS G,2013,"104,000km","1,300cc",PETROL,AT,"2,400"
TOYOTA,RACTIS X V PKG,TOYOTA RACTIS X V PKG,2013,"35,000km","1,300cc",PETROL,AT,"2,400"
TOYOTA,RACTIS G SMART STOP SELECTION,TOYOTA RACTIS G SMART STOP SELECTION,2012,"62,000km","1,300cc",PETROL,AT,"2,300"
TOYOTA,RACTIS LEPICE,TOYOTA RACTIS LEPICE,2011,"91,000km","1,500cc",PETROL,AT,"2,250"
TOYOTA,PASSO X S,TOYOTA PASSO X S,2021,"161,000km","1,000cc",PETROL,AT,"3,500"
TOYOTA,PASSO X S,TOYOTA PASSO X S,2019,"121,000km","1,000cc",PETROL,AT,"3,500"
TOYOTA,PASSO X S,TOYOTA PASSO X S,2019,"106,000km","1,000cc",PETROL,AT,"3,600"
DAIHATSU,MOVE L,DAIHATSU MOVE L,2015,"181,000km",660cc,PETROL,AT,"1,200"
DAIHATSU,MOVE X SA2,DAIHATSU MOVE X SA2,2015,"195,000km",660cc,PETROL,AT,"1,200"
DAIHATSU,MOVE CUSTOM G,DAIHATSU MOVE CUSTOM G,2011,"121,000km",650cc,PETROL,AT,750
DAIHATSU,MOVE CUSTOM X LTD,DAIHATSU MOVE CUSTOM X LTD,2011,"124,000km",660cc,PETROL,AT,750
TOYOTA,PASSO X S,TOYOTA PASSO X S,2019,"87,000km","1,000cc",PETROL,AT,"3,700"
TOYOTA,AQUA L,TOYOTA AQUA L,2021,"238,000km","1,500cc",HYBRID(PETROL),AT,"4,000"
TOYOTA,AQUA L,TOYOTA AQUA L,2021,"153,000km","1,500cc",HYBRID(PETROL),AT,"4,100"
TOYOTA,PASSO X S,TOYOTA PASSO X S,2019,"84,000km","1,000cc",PETROL,AT,"3,650"
TOYOTA,AQUA L,TOYOTA AQUA L,2018,"138,000km","1,500cc",HYBRID(PETROL),AT,"3,950"
TOYOTA,AQUA L,TOYOTA AQUA L,2018,"125,000km","1,500cc",HYBRID(PETROL),AT,"3,960"
TOYOTA,PASSO X L PKG S,TOYOTA PASSO X L PKG S,2018,"88,000km","1,000cc",PETROL,AT,"3,100"
TOYOTA,PASSO X,TOYOTA PASSO X,2018,"75,000km","1,000cc",PETROL,AT,"3,150"
NISSAN,TIIDA 15M,NISSAN TIIDA 15M,2012,"40,000km","1,500cc",PETROL,AT,"1,200"
TOYOTA,PIXIS EPOCH L,TOYOTA PIXIS EPOCH L,2014,"76,000km",660cc,PETROL,AT,"1,700"
DAIHATSU,MOVE CUSTOM X,DAIHATSU MOVE CUSTOM X,2007,"120,000km",660cc,PETROL,AT,680
DAIHATSU,MOVE L,DAIHATSU MOVE L,2007,"204,000km",660cc,PETROL,AT,700
DAIHATSU,MOVE X LTD,DAIHATSU MOVE X LTD,2007,"100,000km",660cc,PETROL,AT,750
DAIHATSU,MOVE CUSTOM X LTD,DAIHATSU MOVE CUSTOM X LTD,2007,"105,000km",660cc,PETROL,AT,680
DAIHATSU,MIRA ES L SA,DAIHATSU MIRA ES L SA,2014,"103,000km",660cc,PETROL,AT,"1,350"
TOYOTA,HARRIER PREMIUM,TOYOTA HARRIER PREMIUM,2014,"182,000km","2,000cc",PETROL,AT,"8,400"
TOYOTA,PASSO MODA S,TOYOTA PASSO MODA S,2017,"117,000km","1,000cc",PETROL,AT,"3,100"
NISSAN,MARCH S,NISSAN MARCH S,2017,"171,000km","1,200cc",PETROL,AT,"2,000"
HONDA,FREED G AERO JUST SELECTION,HONDA FREED G AERO JUST SELECTION,2010,"136,000km","1,500cc",PETROL,AT,"1,420"
NISSAN,MARCH S,NISSAN MARCH S,2015,"138,000km","1,200cc",PETROL,AT,"1,250"
NISSAN,MARCH X V SELECTION,NISSAN MARCH X V SELECTION,2016,"104,000km","1,200cc",PETROL,AT,"1,890"
NISSAN,MARCH X V SELECTION,NISSAN MARCH X V SELECTION,2014,"126,000km","1,200cc",PETROL,AT,"1,150"
TOYOTA,PASSO X G PKG,TOYOTA PASSO X G PKG,2017,"44,000km","1,000cc",PETROL,AT,"3,150"
BMW,X1,BMW X1,2011,"99,000km","2,000cc",PETROL,AT,"1,950"
TOYOTA,VANGUARD 240S,TOYOTA VANGUARD 240S,2011,"199,000km","2,400cc",PETROL,AT,"5,030"
HONDA,FIT BASIC,HONDA FIT BASIC,2021,"122,000km","1,300cc",PETROL,AT,"5,800"
TOYOTA,VANGUARD 240S PKG,TOYOTA VANGUARD 240S PKG,2010,"132,000km","2,400cc",PETROL,AT,"5,800"
HONDA,LIFE DIVA SMART STYLE,HONDA LIFE DIVA SMART STYLE,2011,"128,000km",660cc,PETROL,AT,800
TOYOTA,VANGUARD 240S,TOYOTA VANGUARD 240S,2008,"231,000km","2,400cc",PETROL,AT,"4,600"
TOYOTA,AURIS 180G,TOYOTA AURIS 180G,2006,"122,000km","1,800cc",PETROL,AT,"2,250"
TOYOTA,RAV4,TOYOTA RAV4,2021,"57,000km","2,000cc",PETROL,AT,"14,800"
NISSAN,KICKS X,NISSAN KICKS X,2022,"105,000km","1,200cc",HYBRID(PETROL),AT,"8,300"
SUZUKI,HUSTLER G,SUZUKI HUSTLER G,2017,"206,000km",660cc,HYBRID(PETROL),AT,"1,840"
SUZUKI,HUSTLER G,SUZUKI HUSTLER G,2019,"50,000km",660cc,HYBRID(PETROL),AT,"3,500"
TOYOTA,HARRIER PREMIUM ADVANCED PKG,TOYOTA HARRIER PREMIUM ADVANCED PKG,2015,"135,000km","2,000cc",PETROL,AT,"7,800"
TOYOTA,HARRIER G,TOYOTA HARRIER G,2023,"114,000km","2,000cc",PETROL,AT,"15,500"
SUBARU,FORESTER 2.0XT EYESITE,SUBARU FORESTER 2.0XT EYESITE,2018,"36,000km","2,000cc",PETROL,AT,"7,600"
MAZDA,DEMIO 13C,MAZDA DEMIO 13C,2018,"78,000km","1,300cc",PETROL,AT,"3,930"
SUBARU,FORESTER X BRAKE,SUBARU FORESTER X BRAKE,2015,"125,000km","2,000cc",PETROL,AT,"4,900"
MAZDA,DEMIO 13S TOURING,MAZDA DEMIO 13S TOURING,2017,"93,000km","1,300cc",PETROL,AT,"3,550"
SUBARU,FORESTER 2.0I L EYESIGHT,SUBARU FORESTER 2.0I L EYESIGHT,2013,"149,000km","2,000cc",PETROL,AT,"4,500"
MAZDA,DEMIO 13 SKYACTIVE,MAZDA DEMIO 13 SKYACTIVE,2013,"211,000km","1,300cc",PETROL,AT,"1,450"
TOYOTA,ESQUIRE GI PREMIUM PKG,TOYOTA ESQUIRE GI PREMIUM PKG,2018,"87,000km","2,000cc",PETROL,AT,"8,910"
TOYOTA,ESQUIRE Xi,TOYOTA ESQUIRE Xi,2015,"91,000km","2,000cc",PETROL,AT,"5,170"
NISSAN,DAYZ ROOX X,NISSAN DAYZ ROOX X,2019,"33,000km",660cc,PETROL,AT,"2,850"
TOYOTA,ALPHARD 350X,TOYOTA ALPHARD 350X,2010,"138,000km","3,500cc",PETROL,AT,"3,230"
TOYOTA,AQUA S STYLE BLACK,TOYOTA AQUA S STYLE BLACK,2017,"147,000km","1,500cc",HYBRID(PETROL),AT,"3,700"
TOYOTA,ALPHARD 240S LIMITED,TOYOTA ALPHARD 240S LIMITED,2010,"224,000km","2,400cc",PETROL,AT,"3,100"
TOYOTA,AQUA S,TOYOTA AQUA S,2017,"141,000km","1,500cc",HYBRID(PETROL),AT,"3,950"
SUBARU,FORESTER AIR BREAK,SUBARU FORESTER AIR BREAK,2006,"67,000km","2,000cc",PETROL,AT,"2,800"
TOYOTA,AQUA L,TOYOTA AQUA L,2016,"220,000km","1,500cc",HYBRID(PETROL),AT,"3,150"
TOYOTA,AQUA S STYLE BLACK,TOYOTA AQUA S STYLE BLACK,2016,"173,000km","1,500cc",HYBRID(PETROL),AT,"3,360"
TOYOTA,AQUA S,TOYOTA AQUA S,2016,"247,000km","1,500cc",HYBRID(PETROL),AT,"3,250"
TOYOTA,ALPHARD AS LTD,TOYOTA ALPHARD AS LTD,2005,"162,000km","2,400cc",PETROL,AT,"2,520"
TOYOTA,HIACE VAN SUPER GL-E,TOYOTA HIACE VAN SUPER GL-E,2003,"100,000km","2,000cc",PETROL,AT,"9,200"
TOYOTA,REGIUSACE VAN DX GL PKG,TOYOTA REGIUSACE VAN DX GL PKG,2008,"253,000km","3,000cc",DIESEL,AT,"6,410"
HINO,RANGER 3.3t DUMP,HINO RANGER 3.3t DUMP,2013,"100,000km","5,100cc",DIESEL,6MT,"15,930"
TOYOTA,TOYOACE TRUCK 1.25t FLAT BODY,TOYOTA TOYOACE TRUCK 1.25t FLAT BODY,1997,"109,000km","2,800cc",DIESEL,MT,"6,920"
HONDA,FIT L,HONDA FIT L,2011,"120,000km","1,300cc",PETROL,AT,"1,700"
HONDA,FIT G,HONDA FIT G,2011,"204,000km","1,300cc",PETROL,AT,"1,600"
TOYOTA,COROLLA HYBRID G-X,TOYOTA COROLLA HYBRID G-X,2020,"154,000km","1,800cc",HYBRID(PETROL),AT,"7,580"
BMW,3 SERIES 320I M SPORT PKG,BMW 3 SERIES 320I M SPORT PKG,2011,"73,000km","2,000cc",PETROL,AT,"1,980"
TOYOTA,ALLION A15,TOYOTA ALLION A15,2011,"176,000km","1,500cc",PETROL,AT,"5,810"
TOYOTA,PREMIO F,TOYOTA PREMIO F,2017,"95,000km","1,500cc",PETROL,AT,"10,780"
TOYOTA,ALLION A15 G PKG,TOYOTA ALLION A15 G PKG,2008,"95,000km","1,500cc",PETROL,AT,"5,050"
TOYOTA,ALLION A15,TOYOTA ALLION A15,2006,"47,000km","1,500cc",PETROL,AT,"4,010"
NISSAN,LATIO G,NISSAN LATIO G,2014,"134,000km","1,200cc",PETROL,AT,"1,520"
TOYOTA,MARK X 250G F PKG,TOYOTA MARK X 250G F PKG,2014,"120,000km","2,500cc",PETROL,AT,"4,160"
TOYOTA,CROWN ROYAL SALOON,TOYOTA CROWN ROYAL SALOON,2012,"227,000km","2,500cc",PETROL,AT,"2,480"
TOYOTA,CROWN HYBRID ROYAL SALOON,TOYOTA CROWN HYBRID ROYAL SALOON,2016,"143,000km","2,500cc",HYBRID(PETROL),AT,"8,380"
TOYOTA,DYNA 2.0t FLAT BODY,TOYOTA DYNA 2.0t FLAT BODY,2019,"261,000km","4,000cc",DIESEL,MT,"12,200"
MITSUBISHI,EK WAGON G,MITSUBISHI EK WAGON G,2009,"121,000km",660cc,PETROL,AT,"1,070"
TOYOTA,HARRIER HYBRID G LEATHER PACKAGE,TOYOTA HARRIER HYBRID G LEATHER PACKAGE,2021,"86,000km","2,487cc",HYBRID(PETROL),AT,"15,500"
TOYOTA,HARRIER HYBRID ELEGANCE,TOYOTA HARRIER HYBRID ELEGANCE,2014,"94,000km","2,493cc",HYBRID(PETROL),AT,"8,200"
SUZUKI,ALTO L,SUZUKI ALTO L,2019,"100,000km",660cc,PETROL,AT,"2,440"
HONDA,FIT HYBRID HYBRID S HONDA SENSING,HONDA FIT HYBRID HYBRID S HONDA SENSING,2017,"109,000km","1,500cc",HYBRID(PETROL),AT,"5,100"
HONDA,FIT HYBRID HYBRID L HONDA SENSING,HONDA FIT HYBRID HYBRID L HONDA SENSING,2017,"192,000km","1,500cc",HYBRID(PETROL),AT,"4,510"
HONDA,FIT HYBRID HYBRID L HONDA SENSING,HONDA FIT HYBRID HYBRID L HONDA SENSING,2019,"135,000km","1,500cc",HYBRID(PETROL),AT,"5,500"
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2021,"165,000km","1,500cc",PETROL,AT,"5,710"
TOYOTA,TOWNACE VAN DX,TOYOTA TOWNACE VAN DX,2020,"235,000km","1,500cc",PETROL,AT,"5,200"
TOYOTA,SUCCEED VAN UL-X,TOYOTA SUCCEED VAN UL-X,2017,"117,000km","1,500cc",PETROL,AT,"4,750"
TOYOTA,HIACE VAN DX,TOYOTA HIACE VAN DX,2019,"156,000km","2,000cc",PETROL,AT,"9,000"
TOYOTA,COROLLA FIELDER HYBRID,TOYOTA COROLLA FIELDER HYBRID,2019,"159,000km","1,500cc",HYBRID(PETROL),AT,"5,890"
HONDA,ACTY VAN SDX,HONDA ACTY VAN SDX,2017,"141,000km",660cc,PETROL,AT,"2,240"
HONDA,FIT HYBRID HYBRID L PKG,HONDA FIT HYBRID HYBRID L PKG,2014,"121,000km","1,500cc",HYBRID(PETROL),AT,"2,340"
HONDA,FIT HYBRID HYBRID F PACKAGE,HONDA FIT HYBRID HYBRID F PACKAGE,2014,"125,000km","1,500cc",HYBRID(PETROL),AT,"2,260"
HONDA,FIT HYBRID HYBRID F PACKAGE,HONDA FIT HYBRID HYBRID F PACKAGE,2015,"139,000km","1,500cc",HYBRID(PETROL),AT,"2,200"
NISSAN,NOTE X V SELECTION + SAFETY II,NISSAN NOTE X V SELECTION + SAFETY II,2016,"93,000km","1,200cc",PETROL,AT,"2,540"
TOYOTA,PORTE F A LA MODE,TOYOTA PORTE F A LA MODE,2015,"186,000km","1,500cc",PETROL,AT,"1,500"
NISSAN,NOTE MEDALIST X,NISSAN NOTE MEDALIST X,2020,"47,000km","1,200cc",PETROL,AT,"4,040"
NISSAN,NOTE X V SELECTION PLUS SAFETY 2,NISSAN NOTE X V SELECTION PLUS SAFETY 2,2016,"40,000km","1,200cc",PETROL,AT,"2,430"
TOYOTA,RAV4 G,TOYOTA RAV4 G,2020,"86,000km","2,000cc",PETROL,AT,"14,500"
NISSAN,JUKE 15RX TYPE V,NISSAN JUKE 15RX TYPE V,2013,"85,000km","1,500cc",PETROL,AT,"2,610"
MAZDA,AXELA SPORT 20C SKY ACTIVE,MAZDA AXELA SPORT 20C SKY ACTIVE,2012,"116,000km","2,000cc",PETROL,AT,"1,300"
HONDA,FIT HYBRID HYBRID,HONDA FIT HYBRID HYBRID,2014,"117,000km","1,300cc",HYBRID(PETROL),AT,"1,640"
SUZUKI,ALTO G,SUZUKI ALTO G,2012,"61,000km",660cc,PETROL,AT,"1,010"
TOYOTA,VELLFIRE 2.4Z,TOYOTA VELLFIRE 2.4Z,2013,"220,000km","2,400cc",PETROL,AT,"2,590"
TOYOTA,VELLFIRE Z PLATINUM SELECTION,TOYOTA VELLFIRE Z PLATINUM SELECTION,2010,"145,000km","2,400cc",PETROL,AT,"2,780"
DAIHATSU,MIRA L,DAIHATSU MIRA L,2007,"169,000km",660cc,PETROL,AT,"1,130"
NISSAN,NOTE X DIG-S,NISSAN NOTE X DIG-S,2013,"155,000km","1,200cc",PETROL,AT,"1,160"
HONDA,FIT HYBRID HYBRID SMART SELECTION,HONDA FIT HYBRID HYBRID SMART SELECTION,2011,"144,000km","1,300cc",HYBRID(PETROL),AT,"1,400"
NISSAN,NOTE X,NISSAN NOTE X,2013,"130,000km","1,200cc",PETROL,AT,"1,210"
TOYOTA,VITZ U,TOYOTA VITZ U,2010,"42,000km","1,500cc",PETROL,AT,"2,480"
TOYOTA,VELLFIRE Z PLATINUM SELECTION,TOYOTA VELLFIRE Z PLATINUM SELECTION,2010,"138,000km","2,400cc",PETROL,AT,"2,780"
HONDA,STEPWAGON SPADA Z COOL SPIRIT,HONDA STEPWAGON SPADA Z COOL SPIRIT,2014,"119,000km","2,000cc",PETROL,AT,"5,040"
HONDA,STEPWAGON G COMFORT SELECTION,HONDA STEPWAGON G COMFORT SELECTION,2013,"167,000km","2,000cc",PETROL,AT,"1,360"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2015,"233,000km","1,500cc",PETROL,AT,"2,080"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2011,"152,000km","1,500cc",PETROL,AT,"1,260"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2011,"190,000km","1,500cc",PETROL,AT,"1,170"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2011,"278,000km","1,500cc",PETROL,AT,"1,110"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2011,"122,000km","1,500cc",PETROL,AT,"1,290"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2011,"135,000km","1,500cc",PETROL,AT,"1,290"
SUZUKI,SWIFT XG,SUZUKI SWIFT XG,2011,"169,000km","1,200cc",PETROL,AT,"1,250"
SUZUKI,SWIFT XG L PKG,SUZUKI SWIFT XG L PKG,2007,"111,000km","1,200cc",PETROL,AT,860
SUZUKI,SWIFT XL,SUZUKI SWIFT XL,2011,"105,000km","1,200cc",PETROL,AT,"1,350"
NISSAN,TIIDA 15M,NISSAN TIIDA 15M,2009,"106,000km","1,500cc",PETROL,AT,"1,150"
